x,actualy,y,y(50-y),var,var/y
1,1,1.1,589,0.1,11
2,2,1.84,616.1196,-0.16,-11.5
3,3,3.3,609,0.3,11
4,4,3.65,624.0591,-0.35,-10.42857143
5,5,5.5,620.8791,0.5,11
6,6,5.5,623.9391,-0.5,-11
7,7,7.7,624.9991,0.7,11
8,8,7.3,615.8796,-0.7,-10.42857143
9,9,9.9,621.1191,0.9,11
10,10,9.2,599.8999,-0.8,-11.5
11,11,12.1,609.1596,1.1,11
12,12,11,576.1399,-1,-11
13,13,14.3,589,1.3,11
14,14,12.8,544.7184,-1.2,-10.66666667
15,15,16.5,526.1964,1.5,11
16,16,14.7,505.644375,-1.3,-11.30769231
17,17,18.7,483.39,1.7,11
18,18,16.5,502.2336,-1.5,-11
19,19,20.9,432.9004,1.9,11
20,20,18.3,452.8656,-1.7,-10.76470588
21,21,23.1,375.36,2.1,11
22,22,20.2,343.934775,-1.8,-11.22222222
23,23,25.3,310.6471,2.3,11
24,24,22,327.0924,-2,-11
25,25,27.5,239.2704,2.5,11
26,26,23.8,250.5775,-2.2,-10.81818182
27,27,29.7,161.674375,2.7,11
28,28,25.7,164.0391,-2.3,-11.17391304
29,29,31.9,79.076775,2.9,11
30,30,27.5,64.7311,-2.5,-11
